
Origin,Destination,Flight Number,Departure Time,Arrival Time,Flight Time,Routing,Days of Operations,Connecting Flight number,Effective From,EffectiveTo
Abu Dhabi,Ahmedabad,G8 6,23:30,08:25,07:25,Via BOM,"Tu,W,F,Sa,Su",G8 365,04/10/2023,04/13/2023
Abu Dhabi,Ahmedabad,G8 6,23:30,13:20,12:20,Via BOM,"W,F,Sa,Su",G8 2504,04/10/2023,04/13/2023
Abu Dhabi,Ahmedabad,G8 6,23:30,13:20,12:20,Via BOM,"M,W,Th,F,Sa,Su",G8 2504,04/14/2023,04/16/2023
Abu Dhabi,Ahmedabad,G8 6,23:30,08:25,07:25,Via BOM,Daily,G8 365,04/14/2023,04/16/2023
Abu Dhabi,Ahmedabad,G8 6,23:30,08:25,07:25,Via BOM,"Tu,W,F,Sa,Su",G8 365,04/17/2023,04/27/2023
Abu Dhabi,Ahmedabad,G8 6,23:30,13:20,12:20,Via BOM,"W,F,Sa,Su",G8 2504,04/17/2023,04/27/2023
Abu Dhabi,Ahmedabad,G8 4,01:05,20:40,18:05,Via BOM,"Tu,F",G8 364,04/11/2023,04/28/2023
Abu Dhabi,Ahmedabad,G8 4,01:05,13:20,10:45,Via BOM,"Tu,F",G8 2504,04/11/2023,04/28/2023
Abu Dhabi,Ahmedabad,G8 6,23:30,13:20,12:20,Via BOM,"M,W,Th,F,Sa,Su",G8 2504,04/28/2023,04/30/2023
Abu Dhabi,Ahmedabad,G8 6,23:30,08:25,07:25,Via BOM,Daily,G8 365,04/24/2023,04/30/2023
Abu Dhabi,Ahmedabad,G8 76,22:45,18:35,18:20,Via DEL,Daily,G8 717,04/09/2023,10/27/2023
Abu Dhabi,Amritsar,G8 6,23:30,11:00,10:00,Via BOM,Daily,G8 2411,04/10/2023,04/15/2023
Abu Dhabi,Amritsar,G8 4,01:05,20:50,18:15,Via BOM,"Tu,F",G8 2417,04/11/2023,04/28/2023
