airport,latitude,longitude
Abu Dhabi,24.4539,54.3773
Ahmedabad,23.0225,72.5714
Amritsar,31.634,74.8723
Bagdogra,26.6986,88.3117
Bangkok,13.7563,100.5018
Bengaluru,12.9716,77.5946
Chandigarh,30.7333,76.7794
Chennai,13.0827,80.2707
Dammam,26.4207,5.0888
Dehra Dun,30.3165,78.0322
Delhi,28.7041,77.1025
Dubai,25.2048,55.2708
Goa,15.2993,74.124
Goa-New Goa,15.5207,73.7678
Guwahati,26.1158,91.7086
Hyderabad,17.385,78.4867
Jaipur,26.9124,75.7873
Jammu,32.7266,74.857
Jeddah,21.4858,39.1925
Kannur,11.8745,75.3704
Kochi,9.9312,76.2671
Kolkata,22.5726,88.3629
Kuwait,29.3117,47.4818
Leh,34,77.5771
Lucknow,26.8467,80.9462
Mumbai,19.076,72.8777
Muscat,23.588,58.3829
Nagpur,21.1458,79.0882
Patna,25.5941,85.1376
Phuket,7.8804,98.3923
Port Blair,11.6234,92.7265
Pune,18.5204,73.8567
Ranchi,23.3441,85.3096
Srinagar,34.0837,74.7973
Thoise,34.6602,77.3468
Varanasi,25.3176,82.9739
